title,price_idr,duration,location,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,description,facilities,agent_name,updated_by,main_image,image_urls,url
3 Bedroom Villa for rent in Canggu Bali,Rp 47.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,0,190,,This property is a 190 SqM villa with 3 bedrooms and 3 bathrooms that is available for sale. It is located in Canggu Bali. You can rent this villa long term for Rp47000000 per month.,,FazWaz Bali,2026-02-11T18:21:24+07:00,https://apollo.olx.co.id/v1/files/698c663070b6a-ID/image,https://apollo.olx.co.id/v1/files/698c663070b6a-ID/image | https://apollo.olx.co.id/v1/files/698c663069f91-ID/image | https://apollo.olx.co.id/v1/files/698c6630f2025-ID/image | https://apollo.olx.co.id/v1/files/698c6630d65eb-ID/image | https://apollo.olx.co.id/v1/files/698c6630544c4-ID/image | https://apollo.olx.co.id/v1/files/698c663216775-ID/image | https://apollo.olx.co.id/v1/files/698c6632eb632-ID/image | https://apollo.olx.co.id/v1/files/698c6632c1a8d-ID/image | https://apollo.olx.co.id/v1/files/698c663238402-ID/image | https://apollo.olx.co.id/v1/files/698c6632062b4-ID/image | https://apollo.olx.co.id/v1/files/698c6633c79b2-ID/image | https://apollo.olx.co.id/v1/files/698c663320a39-ID/image | https://apollo.olx.co.id/v1/files/698c6633c06c5-ID/image | https://apollo.olx.co.id/v1/files/698c663321a35-ID/image | https://apollo.olx.co.id/v1/files/698c66335a2a2-ID/image | https://apollo.olx.co.id/v1/files/698c6634c6de3-ID/image | https://apollo.olx.co.id/v1/files/698c663461a56-ID/image | https://apollo.olx.co.id/v1/files/698c6634da528-ID/image,https://www.olx.co.id/item/3-bedroom-villa-for-rent-in-canggu-bali-iid-943060358
1 Bedroom Villa for rent in Canggu Bali,Rp 33.000.000,,Disewakan: Rumah & Apartemen dalam Bali,1,1,72,72,,This 150 m² air-conditioned villa offers free Wi-Fi a super-king bed and a standout private pool with garden and pool views. It features a private entrance and is spread across three floors: 1st floor dedicated to living and kitchen areas (fully equipped with stovetop refrigerator kitchenware toaster electric kettle dining table seating area sofa); 2nd floor with the bedroom and private bathroom; 3rd floor as a rooftop space. Additional amenities include a balcony safe deposit box desk bed linens outdoor furniture cleaning supplies and carbon monoxide detector. Upper floors are accessible only by stairs.   This monthly price is including: - The unit accommodates 1 bed for up to 2 guests. - Housekeeping cleaner services - Electricity - Towels and water are provided for a comfortable stay.,,FazWaz Bali,2026-02-11T18:21:10+07:00,https://apollo.olx.co.id/v1/files/698c662363d55-ID/image,https://apollo.olx.co.id/v1/files/698c662363d55-ID/image | https://apollo.olx.co.id/v1/files/698c662403fa0-ID/image | https://apollo.olx.co.id/v1/files/698c66235b143-ID/image | https://apollo.olx.co.id/v1/files/698c6623e3506-ID/image | https://apollo.olx.co.id/v1/files/698c6623619d2-ID/image | https://apollo.olx.co.id/v1/files/698c662585303-ID/image | https://apollo.olx.co.id/v1/files/698c6625889c1-ID/image | https://apollo.olx.co.id/v1/files/698c6625cdc81-ID/image | https://apollo.olx.co.id/v1/files/698c66253189d-ID/image | https://apollo.olx.co.id/v1/files/698c6625d1f96-ID/image | https://apollo.olx.co.id/v1/files/698c6626e73ab-ID/image,https://www.olx.co.id/item/1-bedroom-villa-for-rent-in-canggu-bali-iid-943060351
4 Bedroom Villa for rent in Cemagi Bali,Rp 50.000.000,,Disewakan: Rumah & Apartemen dalam Bali,4,4,250,200,,Bring your friends or family to this dreamy 4BR/4BA villa steps from Seseh and Cemagi Beach! Wake up to ocean & rice field views splash in your private pool or catch sunsets from the rooftop. With 2 kitchens huge living spaces & a cowork-ready zone it’s perfect for families friends or digital nomads. Just 9 km from buzzing Canggu yet tucked in peaceful Cemagi—your Bali escape with style space & soul. This villa price is 600 Million per year. - 4 Bedrooms - ⁠4 Bathrooms - ⁠Enclosed Living and Kitchen - ⁠Car Parking - ⁠Ocean View from Second Floor Other things to noteThere is a construction project located diagonally across from the villa. Work typically takes place between 8:00 AM and 6:00 PM. While the villa itself remains a peaceful retreat guests may occasionally notice some daytime noise during these hours. Evenings and nights are quiet so you can still enjoy a restful stay.,,FazWaz Bali,2026-02-11T18:19:39+07:00,https://apollo.olx.co.id/v1/files/698c65c7d5df1-ID/image,https://apollo.olx.co.id/v1/files/698c65c7d5df1-ID/image | https://apollo.olx.co.id/v1/files/698c65c71f062-ID/image | https://apollo.olx.co.id/v1/files/698c65c6a6596-ID/image | https://apollo.olx.co.id/v1/files/698c65c6b9bfb-ID/image | https://apollo.olx.co.id/v1/files/698c65c782f52-ID/image | https://apollo.olx.co.id/v1/files/698c65c975d3b-ID/image | https://apollo.olx.co.id/v1/files/698c65c856c42-ID/image | https://apollo.olx.co.id/v1/files/698c65c8aea2c-ID/image | https://apollo.olx.co.id/v1/files/698c65c84456f-ID/image | https://apollo.olx.co.id/v1/files/698c65c828ad1-ID/image | https://apollo.olx.co.id/v1/files/698c65c9d5147-ID/image | https://apollo.olx.co.id/v1/files/698c65c9b4ad9-ID/image | https://apollo.olx.co.id/v1/files/698c65c9e8b09-ID/image | https://apollo.olx.co.id/v1/files/698c65c9c3981-ID/image | https://apollo.olx.co.id/v1/files/698c65ca6e42a-ID/image | https://apollo.olx.co.id/v1/files/698c65ca3c261-ID/image | https://apollo.olx.co.id/v1/files/698c65ca015c9-ID/image | https://apollo.olx.co.id/v1/files/698c65ca02263-ID/image | https://apollo.olx.co.id/v1/files/698c65ca5e0de-ID/image | https://apollo.olx.co.id/v1/files/698c65cbeb194-ID/image,https://www.olx.co.id/item/4-bedroom-villa-for-rent-in-cemagi-bali-iid-943060271
Disewakan/Dijual Villa MEWAH di Pererenan Badung Bali,Rp 25.000.000.000,,Disewakan: Rumah & Apartemen dalam Bali,5,5,655,715,,Disewakan/Dijual Villa MEWAH di Pererenan Badung Bali Villa dengan fasilitas Bintang 5 Memiliki fasilitas Kolam renang yg besar dan sunken daybed serta luxurious sunken lounge membuat acara berenang semakin seru. Villa ini juga dilengkapi dgn Gym room dan Massage room untuk menikmati pijatan setelah seharian beraktifitas. Villa ini terdiri dari 5 kamar suite dgn kmr mandi dan semua dilengkapi dengan walk in closet . Untuk Area laundry storage dan staff terletak di bagian depan gedung villa ini. Yang paling seru adalah villa ini memiliki Entertainment room yg memiliki pool table yg terbuat dari kayu jati big screen tv dan Home Bar utk menyiapkan minuman cocktail favorite Anda snack bar dan Coffee Station. Point of view: 5 bed 5 bath Land: 655 Building:715 Gym room Massage room Entertainment room Service quarter w/staff room+ bathroom Big pool 5x14 m include: - wifi ( house hold capacity) - cleaning 3x a week - ⁠pool 2x a week - ⁠gardener 1 x - ⁠garbage fee - ⁠banjar fee - ⁠change sheet 1x /week Free Hold 28M Lease hold 25 years : 25M (nego) Yearly rent : 25M ( nego) Monthly rent : 270 juta ( nego ) For more info contact Charlie Halim,,Charlie Halim - Remax,2026-02-11T14:37:07+07:00,https://apollo.olx.co.id/v1/files/69520fb252795-ID/image,https://apollo.olx.co.id/v1/files/69520fb252795-ID/image | https://apollo.olx.co.id/v1/files/69520fb17272a-ID/image | https://apollo.olx.co.id/v1/files/69520fb264d3d-ID/image | https://apollo.olx.co.id/v1/files/69520fb11b6a9-ID/image | https://apollo.olx.co.id/v1/files/69520fb248d02-ID/image | https://apollo.olx.co.id/v1/files/69520fb2d6272-ID/image | https://apollo.olx.co.id/v1/files/69520fb329ddc-ID/image | https://apollo.olx.co.id/v1/files/69520fb383aa0-ID/image | https://apollo.olx.co.id/v1/files/69520fb31ea6d-ID/image | https://apollo.olx.co.id/v1/files/69520fb31008b-ID/image | https://apollo.olx.co.id/v1/files/69520fb4379b8-ID/image | https://apollo.olx.co.id/v1/files/69520fb4e49cd-ID/image | https://apollo.olx.co.id/v1/files/69520fb586933-ID/image,https://www.olx.co.id/item/disewakandijual-villa-mewah-di-pererenan-badung-bali-iid-941917297
Disewakan Villa pinggir pantai di Canggu Bali.,Rp 98.000.000.000,,Disewakan: Rumah & Apartemen dalam Bali,5,5,4335,42,,Villa Mewah 5 Kamar Tidur beachfront disewakan di Canggu Bali Luas Tanah 4.335 m² | Pinggir Pantai & Pinggir Sungai Sebuah villa mewah dan langka yang berdiri di atas lahan luas 4.335 m² berlokasi di kawasan paling diminati di Canggu Bali. Properti ini memiliki keunikan istimewa karena berada langsung di tepi pantai dan tepi sungai menawarkan pemandangan alam yang spektakuler privasi maksimal serta suasana tenang yang eksklusif. Villa ini dilengkapi dengan 5 kamar tidur berukuran sangat luas dirancang dengan konsep tropis modern yang elegan dan fungsional. Area ruang tamu dan ruang makan dibuat terbuka untuk memaksimalkan pencahayaan alami serta sirkulasi udara menciptakan kenyamanan optimal untuk hunian maupun aktivitas relaksasi. Dikelilingi oleh taman tropis yang asri properti ini menghadirkan nuansa layaknya resor pribadi. Area outdoor yang luas sangat ideal untuk bersantai menerima tamu atau dikembangkan lebih lanjut sesuai kebutuhan pemilik. Berlokasi strategis hanya beberapa menit dari beach club ternama restoran kelas dunia kafe populer dan pusat gaya hidup Canggu villa ini memiliki nilai tinggi baik sebagai hunian eksklusif maupun investasi properti premium dengan potensi sewa yang sangat menjanjikan. Keunggulan Properti: 5 kamar tidur luas Luas tanah 4.335 m² Lokasi pinggir pantai & pinggir sungai (rare property) Kawasan premium Canggu Bali Cocok untuk hunian mewah atau investasi berkelas Potensi return tinggi untuk sewa luxury Sebuah kesempatan langka untuk memiliki properti ikonik di salah satu lokasi terbaik di Bali. Untuk informasi lebih lanjut atau penjadwalan private viewing silakan hubungi kami.,,I Wayan Nugrata,2026-02-11T11:52:34+07:00,https://apollo.olx.co.id/v1/files/698c0b0d65774-ID/image,https://apollo.olx.co.id/v1/files/698c0b0d65774-ID/image | https://apollo.olx.co.id/v1/files/698c0b0e138f7-ID/image | https://apollo.olx.co.id/v1/files/698c0b0d196f4-ID/image | https://apollo.olx.co.id/v1/files/698c0b0e1b15a-ID/image | https://apollo.olx.co.id/v1/files/698c0b0dbd4f2-ID/image | https://apollo.olx.co.id/v1/files/698c0b0f91ae3-ID/image | https://apollo.olx.co.id/v1/files/698c0b0f3df25-ID/image | https://apollo.olx.co.id/v1/files/698c0b0f20314-ID/image | https://apollo.olx.co.id/v1/files/698c0b0f909a6-ID/image | https://apollo.olx.co.id/v1/files/698c0b0f9512d-ID/image | https://apollo.olx.co.id/v1/files/698c0b10d10f0-ID/image | https://apollo.olx.co.id/v1/files/698c0b10b68d7-ID/image | https://apollo.olx.co.id/v1/files/698c0b1056d2c-ID/image | https://apollo.olx.co.id/v1/files/698c0b10a3913-ID/image | https://apollo.olx.co.id/v1/files/698c0b1056b3b-ID/image | https://apollo.olx.co.id/v1/files/698c0b116ddcd-ID/image | https://apollo.olx.co.id/v1/files/698c0b11bd72a-ID/image | https://apollo.olx.co.id/v1/files/698c0b116e9b8-ID/image | https://apollo.olx.co.id/v1/files/698c0b121328f-ID/image | https://apollo.olx.co.id/v1/files/698c0b120c5fa-ID/image,https://www.olx.co.id/item/disewakan-villa-pinggir-pantai-di-canggu-bali-iid-943047681
Private 1 Bedroom Villa In Prime Kerobokan Location For Rent,Rp 30.000.000,,Disewakan: Rumah & Apartemen dalam Bali,1,1,150,100,,Private 1 Bedroom Villa In Prime Kerobokan Location For Rent This well-maintained private villa is situated in a strategic and peaceful area of Kerobokan offering comfortable living with convenient access to Canggu Seminyak and surrounding lifestyle destinations. The property is ideal for long-term residence providing privacy and a relaxed Bali atmosphere. Property Details Location: Kerobokan Land Size: 150 sqm Building Size: 100 sqm Bedroom: 1 Bathroom: 1 Private Swimming Pool Fully Private Villa Price IDR 30 Million /month This villa is suitable for individuals or couples seeking a comfortable home in a central yet quiet neighborhood. Contact for further information or to arrange a viewing. Wulan,,RE/MAX JAYA CANGGU,2026-02-11T09:02:48+07:00,https://apollo.olx.co.id/v1/files/698be3467ac33-ID/image,https://apollo.olx.co.id/v1/files/698be3467ac33-ID/image | https://apollo.olx.co.id/v1/files/698be346ae2e2-ID/image | https://apollo.olx.co.id/v1/files/698be3471ef9a-ID/image | https://apollo.olx.co.id/v1/files/698be3462e877-ID/image | https://apollo.olx.co.id/v1/files/698be34799c7b-ID/image | https://apollo.olx.co.id/v1/files/698be348f065b-ID/image | https://apollo.olx.co.id/v1/files/698be348c818d-ID/image | https://apollo.olx.co.id/v1/files/698be348f0ab2-ID/image | https://apollo.olx.co.id/v1/files/698be3488e013-ID/image,https://www.olx.co.id/item/private-1-bedroom-villa-in-prime-kerobokan-location-for-rent-iid-943042009
Disewakan 24 Tahun Villa View Sawah di Tibubeneng Kuta Utara,Rp 312.500.000,,Disewakan: Rumah & Apartemen dalam Bali,3,4,560,250,,Disewakan Villa View Sawah di Tibubeneng Kuta Utara  Masa Sewa 24 tahun s/d feb 2049 Spesifikasi :  Luas tanah  560m2 Luas Bgn     250m2 3 kamar tidur 4 kamar mandi  R keluarga Dapur/pantry Ruang makan Listrik 2 x 5500 Air sumur bor  Carport 3 mobil  Hadap barat Jalan aspal 4 mtr View sawah  Harga 7.5 Milyar,,Gading Pro Bali,2026-02-11T08:11:11+07:00,https://apollo.olx.co.id/v1/files/68d3120655747-ID/image,https://apollo.olx.co.id/v1/files/68d3120655747-ID/image | https://apollo.olx.co.id/v1/files/68d31206b08a3-ID/image | https://apollo.olx.co.id/v1/files/68d312061fc7a-ID/image | https://apollo.olx.co.id/v1/files/68d3120697b68-ID/image | https://apollo.olx.co.id/v1/files/68d31206a2724-ID/image | https://apollo.olx.co.id/v1/files/68d31207af39f-ID/image | https://apollo.olx.co.id/v1/files/68d3120843783-ID/image | https://apollo.olx.co.id/v1/files/68d31209cd6aa-ID/image | https://apollo.olx.co.id/v1/files/68d31208c82ee-ID/image | https://apollo.olx.co.id/v1/files/68d31208eb5b9-ID/image | https://apollo.olx.co.id/v1/files/68d31209e5e23-ID/image | https://apollo.olx.co.id/v1/files/68d31209be43f-ID/image | https://apollo.olx.co.id/v1/files/68d3120a73ef5-ID/image | https://apollo.olx.co.id/v1/files/68d312090aa67-ID/image | https://apollo.olx.co.id/v1/files/68d3120a22b09-ID/image | https://apollo.olx.co.id/v1/files/68d3120ae0638-ID/image | https://apollo.olx.co.id/v1/files/68d3120b08824-ID/image | https://apollo.olx.co.id/v1/files/68d3120b70c6d-ID/image | https://apollo.olx.co.id/v1/files/68d3120b485f4-ID/image,https://www.olx.co.id/item/disewakan-24-tahun-villa-view-sawah-di-tibubeneng-kuta-utara-iid-934521675
For Rent Semi Villa House in Canggu Bali,Rp 250.000.000,,Disewakan: Rumah & Apartemen dalam Bali,4,4,150,110,,For Rent Semi Villa House Semifurnished Location in Canggu Badung Bali Land size: 150 sqm Building size: 110 sqm Building: 3 floors 4 Bedrooms 4 Bathrooms Enclosed living room & Kitchen 1 Living room downstair 1 Living room upstair Garden Private Parking Car Access Water: Drillwell Price IDR 250 million per year For other property and location information contact: Call/WhatsApp,,fauzi ahmad,2026-02-11T04:24:06+07:00,https://apollo.olx.co.id/v1/files/698ba1f3b463f-ID/image,https://apollo.olx.co.id/v1/files/698ba1f3b463f-ID/image | https://apollo.olx.co.id/v1/files/698ba1f3e832c-ID/image | https://apollo.olx.co.id/v1/files/698ba1f3dbf4d-ID/image | https://apollo.olx.co.id/v1/files/698ba1f3d0cb1-ID/image | https://apollo.olx.co.id/v1/files/698ba1f399313-ID/image | https://apollo.olx.co.id/v1/files/698ba1f441529-ID/image | https://apollo.olx.co.id/v1/files/698ba1f44c6b2-ID/image | https://apollo.olx.co.id/v1/files/698ba1f455517-ID/image | https://apollo.olx.co.id/v1/files/698ba1f4befda-ID/image | https://apollo.olx.co.id/v1/files/698ba1f413f27-ID/image | https://apollo.olx.co.id/v1/files/698ba1f619761-ID/image | https://apollo.olx.co.id/v1/files/698ba1f6a5919-ID/image,https://www.olx.co.id/item/for-rent-semi-villa-house-in-canggu-bali-iid-943038695
Stunning brand new villa umalas very nice and strategic location all included monthly yearly great for investment,Rp 750.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,4,260,285,,3 Bedroom Luxury Villa for Monthly/long term Lease near Usha cafe in Umalas PRIME LOCATION NO CONSTRUCTION AROUND Details Enclosed Living Room with AC and Fan 3 Bedrooms with AC and Fan Private fully equipped kitchen Private Pool 4 Bathrooms Media room FEATURES Land size: 2.6 are / 260 m2 Building size: 285 m2 Building style: Modern Luxury  Year built: 2024 Furniture: Fully Furnished Bedrooms: 3  Bathrooms: 4 Enclosed Living Dining Room and Kitchen  Swimming-Pool: 8m x 3m Road Access: Private Parking: Private covered garage Electricity: 11000 KW Services included: Cleaning 6 X week 200 MBPS Wifi Pool & Garden Maintenance X 6 Banjar & Trash Collection fee Electricity 2 million included Cooking Gas x 1 per month Drinking Water x 4 per month Available *NOW* Price (Nett) IDR 80.000.000 per Month IDR 750.000.000 per Year *Security Deposit 10.000.000,,Tuit Nensi,2026-02-10T15:12:10+07:00,https://apollo.olx.co.id/v1/files/698ae85530e3b-ID/image,https://apollo.olx.co.id/v1/files/698ae85530e3b-ID/image | https://apollo.olx.co.id/v1/files/698ae8556fabb-ID/image | https://apollo.olx.co.id/v1/files/698ae8559e1d0-ID/image | https://apollo.olx.co.id/v1/files/698ae85556c6c-ID/image | https://apollo.olx.co.id/v1/files/698ae85525f89-ID/image | https://apollo.olx.co.id/v1/files/698ae8562b5a5-ID/image | https://apollo.olx.co.id/v1/files/698ae85661d99-ID/image | https://apollo.olx.co.id/v1/files/698ae85660d5c-ID/image | https://apollo.olx.co.id/v1/files/698ae856e96e3-ID/image | https://apollo.olx.co.id/v1/files/698ae857c2d0e-ID/image | https://apollo.olx.co.id/v1/files/698ae857c157f-ID/image | https://apollo.olx.co.id/v1/files/698ae8571e16b-ID/image | https://apollo.olx.co.id/v1/files/698ae85728333-ID/image | https://apollo.olx.co.id/v1/files/698ae8577f2aa-ID/image | https://apollo.olx.co.id/v1/files/698ae85881b24-ID/image | https://apollo.olx.co.id/v1/files/698ae85864358-ID/image | https://apollo.olx.co.id/v1/files/698ae85876af8-ID/image | https://apollo.olx.co.id/v1/files/698ae8585411a-ID/image | https://apollo.olx.co.id/v1/files/698ae859683db-ID/image | https://apollo.olx.co.id/v1/files/698ae859d5311-ID/image,https://www.olx.co.id/item/stunning-brand-new-villa-umalas-very-nice-and-strategic-location-all-included-monthly-yearly-great-for-investment-iid-943024883
villa besar and Luxury di area canggu,Rp 650.000.000,,Disewakan: Rumah & Apartemen dalam Bali,4,5,525,500,,Luxury villa di area Canggu yang besar Luas tanah 525 M2  Luas bangunan 500m2  5+1 bathrooms  4+1 Bedrooms  Furnish  Carpot 3 mobil  Hadap Timur  Carpot 3 mobil,,Garam Property - Yanti,2026-02-10T14:34:32+07:00,https://apollo.olx.co.id/v1/files/68cb062fb3ec1-ID/image,https://apollo.olx.co.id/v1/files/68cb062fb3ec1-ID/image | https://apollo.olx.co.id/v1/files/68cb062f30358-ID/image | https://apollo.olx.co.id/v1/files/68cb062fa3d89-ID/image | https://apollo.olx.co.id/v1/files/68cb062f258fe-ID/image | https://apollo.olx.co.id/v1/files/68cb062f1c50c-ID/image | https://apollo.olx.co.id/v1/files/68cb063003a53-ID/image | https://apollo.olx.co.id/v1/files/68cb0630d1727-ID/image | https://apollo.olx.co.id/v1/files/68cb06301f98f-ID/image | https://apollo.olx.co.id/v1/files/68cb06309e71c-ID/image | https://apollo.olx.co.id/v1/files/68cb063084403-ID/image,https://www.olx.co.id/item/villa-besar-and-luxury-di-area-canggu-iid-926379714
Villa Semi Furnished 3 Kamar Tidur Disewakan di Pererenan Area,Rp 450.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,4,250,550,,Disewakan Villa Semi Furnished 3 Kamar Tidur di Pererenan Luas Tanah: 250 m2 Ukuran kolam renang: bulat 8 m x 5 m Jumlah lantai: 2 lantai IMB: perumahan Ukuran Bangunan: 300 m2 Furnitur sebagian Kamar tidur: 3 Kamar mandi dalam: 1 Kamar mandi / toilet tamu: 2 Ruang layanan: 1 Toilet layanan: 1 Ruang Makan & Ruang Tamu: 1 Garasi / Tempat Parkir Mobil: Sewa: Rp. 450 Juta / tahun Bagi yang berminat dengan property ini dapat menghubungi Esther,,Re/Max Jaya Hendro,2026-02-10T13:25:04+07:00,https://apollo.olx.co.id/v1/files/698acf3c1d0f7-ID/image,https://apollo.olx.co.id/v1/files/698acf3c1d0f7-ID/image | https://apollo.olx.co.id/v1/files/698acf3c106c6-ID/image | https://apollo.olx.co.id/v1/files/698acf3d4dc5d-ID/image | https://apollo.olx.co.id/v1/files/698acf3d540d8-ID/image | https://apollo.olx.co.id/v1/files/698acf3c63825-ID/image | https://apollo.olx.co.id/v1/files/698acf3e68e73-ID/image | https://apollo.olx.co.id/v1/files/698acf3e80a5b-ID/image | https://apollo.olx.co.id/v1/files/698acf3eb9afc-ID/image | https://apollo.olx.co.id/v1/files/698acf3e8eec7-ID/image | https://apollo.olx.co.id/v1/files/698acf3e424ca-ID/image | https://apollo.olx.co.id/v1/files/698acf3fbbfe6-ID/image | https://apollo.olx.co.id/v1/files/698acf3fdc2e0-ID/image,https://www.olx.co.id/item/villa-semi-furnished-3-kamar-tidur-disewakan-di-pererenan-area-iid-943021289
Charming 1 Bedroom Private Villa For Rent In Kerobokan,Rp 30.000.000,,Disewakan: Rumah & Apartemen dalam Bali,1,1,150,100,,Charming 1 Bedroom Private Villa For Rent In Kerobokan This charming one-bedroom private villa is located in a strategic yet peaceful area of Kerobokan offering comfort and privacy for long-term living or a relaxed Bali lifestyle. Designed for simplicity and functionality the villa is ideal for singles or couples seeking a cozy private home with a swimming pool. Property Details: Land size: 150 sqm Building size: 100 sqm One bedroom One bathroom Private swimming pool Fully private villa Price: IDR 30 million /month The property provides easy access to Canggu Seminyak and other key lifestyle destinations making it a convenient choice for comfortable daily living. For more information or to arrange a viewing please contact: Wulan,,RE/MAX JAYA CANGGU,2026-02-10T12:18:01+07:00,https://apollo.olx.co.id/v1/files/698abf8730ef2-ID/image,https://apollo.olx.co.id/v1/files/698abf8730ef2-ID/image | https://apollo.olx.co.id/v1/files/698abf87924ef-ID/image | https://apollo.olx.co.id/v1/files/698abf874b882-ID/image | https://apollo.olx.co.id/v1/files/698abf87e50bc-ID/image | https://apollo.olx.co.id/v1/files/698abf888db75-ID/image | https://apollo.olx.co.id/v1/files/698abf89578cf-ID/image | https://apollo.olx.co.id/v1/files/698abf89ae3e4-ID/image | https://apollo.olx.co.id/v1/files/698abf89158a1-ID/image | https://apollo.olx.co.id/v1/files/698abf89e01d3-ID/image | https://apollo.olx.co.id/v1/files/698abf89e77ce-ID/image,https://www.olx.co.id/item/charming-1-bedroom-private-villa-for-rent-in-kerobokan-iid-943019070
DiSewakan Rumah Baru lantai2 dalam kawasan perum dalung permai.,Rp 70.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,2,100,100,,DISEWAKAN RUMAH SIAP HUNI – LOKASI STRATEGIS & NYAMAN Rumah nyaman dengan desain modern lingkungan tenang dan akses mudah ke berbagai fasilitas umum. Cocok untuk hunian keluarga maupun investasi jangka panjang. Spesifikasi : Luas tanah : 100m² Luas bangunan : 115m² 3 Kamar tidur 2 Kamar mandi Ruang tamu & ruang keluarga Dapur rapi & fungsional Carport / garasi Ruang Londry Mini Gudang Meja Bar Rooftop Listrik 2200watt Air PDAM SHM dan IMB Keunggulan : Lokasi strategis (dekat sekolah pasar rumah sakit dan pusat kota) Akses jalan baik bebas banjir Siap huni hubungi : (nyoman gp-bali),,Ud. Galang Arsa Mandiri ( GALANG PROPERTY BALI ),2026-02-10T10:48:57+07:00,https://apollo.olx.co.id/v1/files/698aaaa7a514e-ID/image,https://apollo.olx.co.id/v1/files/698aaaa7a514e-ID/image | https://apollo.olx.co.id/v1/files/698aaaa76db0e-ID/image | https://apollo.olx.co.id/v1/files/698aaaa73263b-ID/image | https://apollo.olx.co.id/v1/files/698aaaa7b34dc-ID/image | https://apollo.olx.co.id/v1/files/698aaaa76d051-ID/image | https://apollo.olx.co.id/v1/files/698aaaa857f5e-ID/image | https://apollo.olx.co.id/v1/files/698aaaa8ef59f-ID/image | https://apollo.olx.co.id/v1/files/698aaaa88cc42-ID/image | https://apollo.olx.co.id/v1/files/698aaaa8218c9-ID/image | https://apollo.olx.co.id/v1/files/698aaaa85b63f-ID/image | https://apollo.olx.co.id/v1/files/698aaaa995e1a-ID/image | https://apollo.olx.co.id/v1/files/698aaaa981dc5-ID/image | https://apollo.olx.co.id/v1/files/698aaaa9a320a-ID/image,https://www.olx.co.id/item/disewakan-rumah-baru-lantai2-dalam-kawasan-perum-dalung-permai-iid-943015870
Villa Modern Strategis Disewakan di Kerobokan Kuta Utara Area,Rp 325.000.000,,Disewakan: Rumah & Apartemen dalam Bali,3,3,300,500,,Disewakan Villa Modern di Kerobokan Lokasi Strategis dan Lingkungan Expatriate Villa Eksklusif ini berlokasi di kawasan strategis Kerobokan area favorit ekspatriat yang tenang nyaman dan mudah diakses. Dikelilingi berbagai Restoran dan Kafe populer Villa ini sangat ideal untuk hunian keluarga maupun ekspatriat yang mencari kenyamanan dan privasi. Hanya berjarak: 6 menit ke Le Français School 11 menit ke kawasan Canggu Villa dirancang dengan konsep Modern tropis memiliki taman yang asri dengan pemandangan langsung ke kolam renang menciptakan suasana tinggal yang sejuk dan menenangkan. Detail Properti: Luas Tanah: 300 m² Luas Bangunan: 200 m² 3 Kamar Tidur luas 3 Kamar Mandi 2 Lantai Taman pribadi menghadap swimming pool Listrik 5.400 watt Sumber air sumur Harga Sewa: IDR 325 Juta / tahun Villa ini merupakan pilihan tepat bagi Anda yang menginginkan hunian berkualitas di lokasi premium Kerobokan dengan akses cepat ke Canggu dan pusat gaya hidup Bali. Bagi yang berminat dengan property ini dapat menghubungi Ayunda,,Re/Max Jaya Hendro,2026-02-10T09:48:30+07:00,https://apollo.olx.co.id/v1/files/695cd325da59b-ID/image,https://apollo.olx.co.id/v1/files/695cd325da59b-ID/image | https://apollo.olx.co.id/v1/files/695cd3242cb52-ID/image | https://apollo.olx.co.id/v1/files/695cd32537de4-ID/image | https://apollo.olx.co.id/v1/files/695cd3256f417-ID/image | https://apollo.olx.co.id/v1/files/695cd325c76dc-ID/image | https://apollo.olx.co.id/v1/files/695cd3268ca7e-ID/image | https://apollo.olx.co.id/v1/files/695cd32675160-ID/image | https://apollo.olx.co.id/v1/files/695cd32612067-ID/image,https://www.olx.co.id/item/villa-modern-strategis-disewakan-di-kerobokan-kuta-utara-area-iid-942100481
