title,price_idr,duration,location,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,description,facilities,agent_name,updated_by,main_image,url
Dijual Villa Baru Jadi Batursari Sanur,Rp 68.000.000.000,year,Dijual Villa Baru Jadi Batursari Sanur | Rumah123,3,3,200 m²,210 m²,Lainnya,FOR SALE VILLA BRAND NEW MODERN MINIMALIS LANTAI 2 AREA BATUR SARI SANUR DENPASAR SELATAN SPESIFIKASI Land size : 200 m2 Building size : 210 m2 - Bedroom : 3 - Bathroom: 3 - Pool 3 m x 6 m Livingroom Dinningroom Kitchen Storage / Service Area Elect : 7700 VA Akses : 4 meter Air Sumur Bor Garase Fully Furnished SHM SLF PROSES APRIL FINISHING pus HARGA 68 MILIAR NEGO,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4355764/87a006e127764b2b43c4cf1decbca91f.jpg,https://www.rumah123.com/properti/denpasar-sanur/dijual-villabbaru-jadi-batursari-sanur-hor41222083/
Disewakan / Rent Villa Luxury - Area Sanur $55000/Thn Min. 2 Tahun,Rp 350.000.000,year,Disewakan / Rent Villa Luxury - Area Sanur $55000/Thn Min. 2 Tahun | vlr187449,3,3,,,,Villa di Sanur. Temukan villa yang modern ini disewakan menghadirkan lingkungan fasilitas yang lengkap cocok untuk Anda yang menginginkan hunian strategis. Spesifikasi Utama Properti: - Kamar Tidur: 2 - Kamar Mandi: 3 - Sertifikat: - Fitur unggulan: - Bebas Banjir. - Full Furnished. - Dekat Akses Bandara. - Dekat Sekolah Internasional. - Dekat Sekolah Negeri. - Dekat Fasilitas Kesehatan. - Dekat Tempat Wisata. - Dekat Tempat Ibadah. - Villa Mewah. - Private & tidak terganggu. - Cocok untuk keluarga. - Cocok untuk rombongan. - Lokasi tenang & jauh dari keramaian. Terletak di Sanur villa ini memberikan kemudahan akses ke berbagai fasilitas menarik. sewa 2 thn @450 jt sewa 5 thn @400 jt sewa 10 thn@350jt anda bisa memiliki hunian terbaik yang sudah siap huni. Segera ambil kesempatan untuk menikmati investasi di kawasan Sanur yang nyaman ini! Hubungi segera untuk informasi lebih lanjut!,,ETY (MEQG)Agen KorporatNIB:912020578****,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4407764/415d132700e5ee7f1276c26c270cab75.jpg,https://www.rumah123.com/properti/denpasar-sanur/disewakan-rent-villa-luxury-area-sanur-55000thn-min-2-tahun-vlr187449/
Disewakan - Villa Private 2 Kamar dengan Desain Modern & Taman Luas di Area Tenang,Rp 220.000.000,year,Badung,2,2,,,,Kesempatan terbatas buat Anda dapatkan villa strategis dengan return investasi tinggi di Kerobokan Badung. Villa ini menawarkan kelengkapan fasilitas serta memiliki nilai tepat yang siap untuk segera Anda miliki utamanya bagi Anda yang mencari hunian di lokasi yang dekat dengan fasilitas umum. Detail Properti ini adalah: - Kamar Tidur: 2 - Kamar Mandi: 2 - Sertifikat: - Tidak hanya itu namun properti ini juga memiliki keunggulan sebagai berikut: - Full Furnished. - Bebas Banjir. - Lingkungan Islami. - Dekat Akses Bandara. - Dekat Pusat Perbelanjaan. - Dekat Sekolah Internasional. - Dekat Sekolah Negeri. - Dekat Universitas. - Dekat Fasilitas Kesehatan. - Dekat Tempat Wisata. - Dekat Tempat Ibadah. - Dekat Taman Kota. - Private & tidak terganggu. - Villa Mewah. - Cocok untuk rombongan. - Cocok untuk keluarga. - Desain minimalis. - Lokasi tenang & jauh dari keramaian. - Lokasi dipusat kota. - Sejuk. - City View. - Cocok Untuk Investasi. - Lokasi Strategis. - Lokasi Bebas Banjir. Lokasi Strategis terletak di Kerobokan properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan Harga yang sangat kompetitif yaitu Rp. 18.333.333 villa ini siap menjadi milik Anda! Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti berkualitas ini milik Anda. Hubungi segera dan dapatkan informasinya ataupun cek unit!,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4407764/0ec46e4a28e091a04a1907d24a7368b4.png,https://www.rumah123.com/properti/badung-kerobokan/disewakan-villa-private-2-kamar-dengan-desain-modern-taman-luas-di-area-tenang-vlr201456/
Dikontrakkan Villa dengan Kebun.yang Luas,Rp 275.000.000,year,Badung,3,3,350 m²,150 m²,Lainnya,DI KONTRAKAN VILLA Luas tanah : 350 m² 3 kamar tidur + 3 kamar mandi Akses jalan : 5 meter Living room tertutup Dapur Meja makan Garasi Garden Pool MST Listrik 4500 KWH Sumur bor Hadap selatan 10 tahun = 185 juta / tahun 20 - 30 tahun = 150 juta / tahun 275 juta / tahun minimal 2 tahun DO,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4355764/1dc0c3bfec88a8cff825e523b36e9194.jpg,https://www.rumah123.com/properti/denpasar-sanur/dikontrakkan-villa-dengan-kebunyang-luas-hor41223144/
Villa Mewah Brand New 2 Lantai Full Funiture,Rp 550.000.000,year,Sanur Denpasar,5,5,,,,Villa di Sanur. Temukan villa yang nyaman ini disewakan menghadirkan lingkungan fasilitas yang lengkap cocok untuk Anda yang menginginkan hunian aman. Spesifikasi Utama Properti: - Kamar Tidur: 5 - Kamar Mandi: 5 - Sertifikat: - Fitur unggulan: - Full Furnished. - Siap Huni. - Bebas Banjir. - Lingkungan Islami. - Dekat Pusat Perbelanjaan. - Dekat Sekolah Internasional. - Dekat Akses Bandara. - Dekat Universitas. - Dekat Sekolah Negeri. - Dekat Fasilitas Kesehatan. - Dekat Tempat Ibadah. - Dekat Tempat Wisata. - Dekat Taman Kota. - Kolam renang pribadi. - Private & tidak terganggu. - Villa Mewah. - Cocok untuk keluarga. - Cocok untuk rombongan. - Desain minimalis. - Lokasi tenang & jauh dari keramaian. - Lokasi dipusat kota. - Dekat Pusat Bisnis. - City View. - Sejuk. - Cocok Untuk Investasi. - Lokasi Strategis. - Lokasi Bebas Banjir. Berlokasi di Sanur villa ini memberikan kemudahan akses ke berbagai fasilitas menarik. Kontak segera untuk informasi lebih lanjut!,,ETY (MEQG)Agen KorporatNIB:912020578****,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4407764/0b79b494e7a46b2a8fa796e187644dae.jpg,https://www.rumah123.com/properti/denpasar-sanur/villa-mewah-brand-new-2-lantai-full-funiture-vlr201430/
Villa For Lease At Jimbaran Area Bagus dan Menarik,Rp 250.000.000,year,Villa For Lease At Jimbaran Area Bagus dan Menarik | Rumah123,2,3,130 m²,300 m²,SHM,Rumah 3 lantai di Jimbaran Badung. Disewakan rumah di wilayah yang nyaman dengan pemandangan permukiman warga. Properti 3 lantai bergaya modern ini berada di lingkungan strategis. Kategorinya adalah sebagai berikut: - Kamar Tidur: 2 - Kamar Mandi: 3 - Sertifikat: SHM - Sertifikat Hak Milik - Daya Listrik: 4400 W - Hadap: Utara - Kondisi Perabotan: Furnished Tidak hanya itu properti ini layak untuk dimiliki karena: - Dekat Universitas. - Full Furnished. - Siap Huni. - Bebas Banjir. Properti ini sudah lengkap dengan fasilitas: - Tempat Laundry. - Kolam Renang. - Dekat Pantai Keberadaan rumah berikut strategis hanya selangkah menuju berbagai fasilitas utama dan menarik. Tersedia juga untuk rental period Yearly.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1959814/b4f64907b834752f7334ae4686b5137c.jpg,https://www.rumah123.com/properti/badung-jimbaran/villa-for-lease-at-jimbaran-area-bagus-dan-menarik-hor41098255/
VILLA LUXURY SANUR DENGAN KOLAM RENANG DAN TAMAN LUAS,Rp 375.000.000.000,year,VILLA LUXURY SANUR DENGAN KOLAM RENANG DAN TAMAN LUAS | vlr189144,3,3,,,,Villa di Sanur. Miliki villa yang nyaman ini disewakan menawarkan lingkungan fasilitas yang lengkap cocok untuk Anda yang menginginkan hunian aman. Spesifikasi Utama Properti: - Kamar Tidur: 3 - Kamar Mandi: 3 - Sertifikat: - Fitur unggulan: - Full Furnished. - Bonus Furniture. - Dekat Akses Bandara. - Dekat Pusat Perbelanjaan. - Dekat Sekolah Internasional. - Dekat Sekolah Negeri. - Dekat Fasilitas Kesehatan. - Dekat Tempat Wisata. - Dekat Taman Kota. - Kolam renang pribadi. - Villa Mewah. - Private & tidak terganggu. - Lokasi tenang & jauh dari keramaian. - Lokasi dipusat kota. - Sejuk. - Lokasi Strategis. - Lokasi Bebas Banjir. Berlokasi di Sanur villa ini memberikan kemudahan akses ke berbagai fasilitas menarik. Dengan harga Rp. 312.500.xxx anda bisa memiliki hunian terbaik yang sudah siap huni. Segera ambil kesempatan untuk menikmati investasi di kawasan Sanur yang nyaman ini! Kontak segera untuk informasi lebih lanjut!,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4407764/e8c78a896764f59469eb90fa82a7c1a5.jpg,https://www.rumah123.com/properti/denpasar-sanur/villa-luxury-sanur-dengan-kolam-renang-dan-taman-luas-vlr189144/
Vila Full Furnished 1 Lantai Lodtunduh Ubud Bali,Rp 200.000.000,year,Vila Full Furnished 1 Lantai Lodtunduh Ubud Bali | Rumah123,2,2,117 m²,60 m²,Lainnya,FOR RENT Brand New Modern Tropical Cozy Villa in Ubud Location: Banjar Lodtunduh Singakerta - Ubud Strategic Location: - 3 minutes to Pepito/ Rusters - 1 minute to Cocomart Tebongkang - 5-10 minutes to Sayan and Penestanan - 10 minute to Central Ubud Property Details: - Land area 117 sqm - Build area 60 sqm - 2 Bedrooms - 2 Bathrooms - Electricity 5500watt - Well deep water - Carport - Private Pool *Facilities* - AC - ⁠Water heater - Smart TV - Hair dryer - Kitchen ( microwave refrigerator kettle toaster water dispenser rice cooker and blender) - ⁠Pool *Includes (yearly rent):* 1. Pool maintenance 2x/week 2. ⁠Cleaning 1x/week Note: No pet *Price* - Yearly : IDR 200.000.xxx/yr + security deposit 10.000.000 OR - Long Lease 25 year : IDR 2.300.000.xxx,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1876131/2b321c3e93aae566e2e23fcb8f55b8ad.jpg,https://www.rumah123.com/properti/gianyar-ubud/vila-full-furnished-1-lantai-lodtunduh-ubud-bali-hor41183462/
3Br Enchanting Villa With View In Ubud,Rp 23.000.000.000,year,3Br Enchanting Villa With View In Ubud | Rumah123,3,3,200 m²,350 m²,Hak Sewa,Experience the epitome of luxury at a magnificent retreat nestled amidst the enchanting beauty of Ubud's lush landscapes. This villa offers a haven of tranquility boasting a private pool and three spacious bedrooms adorned with every modern comfort. Step outside to a meticulously maintained garden where the gentle rays of the sun and the harmonious blend of natural elements create a truly relaxing ambiance. Embrace the essence of Bali's vibrant culture and explore nearby attractions such as the Blanco Reinansance Museum Monkey Forest Ubud and the exhilarating Ayung Rafting experience all within easy reach of the villa. Conveniently located just minutes away from Ubud center This Villa offers easy access to the city's bustling markets and renowned dining establishments. Discover the charm of Petulu Village home to the famous heron birds or embark on a scenic hike through the picturesque countryside. Currently managed with professional hospitality team for daily rental this villa also offer ease of investment and great income stream for you who seek return and relax in one package! Price: - IDR 23 Billion for Leasehold until 24th April 2043 - Extendable up to 20 years Specifications: - Land size 350m2 - 3 Bedrooms - 3 Bathrooms with Bathtubs - Private Swimming Pool - Offsite Parking area - Pool with Rice Field view - Fully furnished and equipped kitchen - Open Living and Kitchen area - One Floor only building,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2168946/e1a6eb7a071fe65c2ce718e08e9c3a35.png,https://www.rumah123.com/properti/gianyar-ubud/3br-enchanting-villa-with-view-in-ubud-hor40095661/
Stylish & Luxurious Villa In Batu Mejan Canggu,Rp 165.000.000,month,Stylish & Luxurious Villa In Batu Mejan Canggu | Rumah123,4,7,600 m²,910 m²,Hak Sewa,For Rent: Ultra-Luxury 4-Bedroom Villa on Batu Mejan Main Street Canggu Prime Central Location - Walking Distance to La Brisa Deus Ex Machina Penny Lane and More. This brand-new luxury villa offers refined tropical living in one of Canggu's most sought-after addresses. Located just 50 meters off the main Batu Mejan street the villa provides both privacy and direct access to Canggu's vibrant lifestyle. Property Features: - 4 spacious bedrooms with walk-in wardrobes and en-suite bathrooms - Total of 7 bathrooms (4 en-suite 3 guest bathrooms) - Large private swimming pool with a lush garden and greenbelt buffer for maximum privacy - Two fully equipped bars (poolside and in the entertainment room) - Expansive entertainment room with billiard table and private bathroom with bathtub - Fully equipped gym located on the upper floor - Semi-open living area with built-in teppanyaki grill for entertaining - Enclosed living and kitchen area with generous lounge and sofa space - Air-conditioning throughout all enclosed spaces - Remote-controlled gate access for security and convenience - Dedicated motorbike parking (up to 6 units); car access for drop-off only (50-meter walk from the main road) - Dedicated office/staff room - All furnishings are high quality and designed for maximum comfort Rental Terms: - Monthly rent: IDR 165 Million - Yearly rental available based on monthly rate (negotiable) - Security deposit: IDR 33 Million (refundable upon check-out) Included in the Rental: - Daily cleaning service - On-call staff and housekeeping - Garden and pool maintenance Not Included: - Electricity usage - Laundry service (linen changes included laundry invoiced separately) Location: Situated in the heart of Batu Mejan Canggu the villa is within walking distance to major restaurants cafés and beach clubs such as Deus Ex Machina Penny Lane Pizza Fabbrica Muda by/Suka La Brisa and Echo Beach. This villa is ideal for those seeking a central yet private luxury living experience in Canggu. Serious inquiries only. For more details or to arrange a private viewing please contact us directly.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2168946/6ac6d78d235f7f94e54b6b0e796ada38.jpg,https://www.rumah123.com/properti/badung-canggu/stylish-luxurious-villa-in-batu-mejan-canggu-hor40114576/
Villa For Lease Area Ungasan Bagus dan Menarik Agf,Rp 240.000.000,year,Ungasan Badung,3,3,180 m²,250 m²,SHM,Rumah bergaya modern di Ungasan. Dapatkan rumah 2 lantai yang modern ini disewakan dengan pemandangan permukiman warga yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah strategis serta menghadirkan lingkungan fasilitas yang lengkap cocok untuk Anda yang menginginkan hunian strategis. Spesifikasi Utama Properti: - Kamar Tidur: 3 - Kamar Mandi: 3 - Sertifikat: SHM - Sertifikat Hak Milik - Daya Listrik: 5500 W - Arah Bangunan: Menghadap Selatan - Kondisi Perabotan: Furnished Dilengkapi dengan: - Tempat Jemuran. - Kolam Renang. Fitur unggulan: - Siap Huni. - Bebas Banjir. Berlokasi di Ungasan rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik. Hubungi segera untuk informasi lebih lanjut!,,FELIX MORRISAgen KorporatNIB:912010324****,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1959814/cb84deb886b5480717ed5ef8ebb606e6.jpg,https://www.rumah123.com/properti/badung-ungasan/villa-for-lease-area-ungasan-bagus-dan-menarik-agf-hor41049175/
New Villa For Lease Hold Max 25 Years Bagus dan Menarik,Rp 200.000.000,year,Badung,2,3,200 m²,165 m²,SHM,Rumah 2 lantai di Jimbaran Badung. For rent rumah di wilayah yang tenang dengan pemandangan permukiman warga. Properti 2 lantai ini berada di lingkungan perumahan/komplek. Kategorinya adalah sebagai berikut: - Kamar Tidur: 2 - Kamar Mandi: 3 - Sertifikat: SHM - Sertifikat Hak Milik - Daya Listrik: 7700 W - Hadap: Timur - Kondisi Perabotan: Furnished Tidak hanya itu properti ini layak untuk dimiliki karena: - Bebas Banjir. - Siap Huni. - Dekat Pusat Perbelanjaan. - Dekat Universitas. Properti berikut sudah lengkap dengan fasilitas: - Tempat Laundry. - Tempat Jemuran. - Kolam Renang. Lokasi rumah berikut mudah dijangkau hanya selangkah menuju berbagai fasilitas utama dan menarik.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1959814/8e455a887695fc081e89ebb9cd650025.jpg,https://www.rumah123.com/properti/badung-jimbaran/new-villa-for-lease-hold-max-25-years-bagus-dan-menarik-hor41120262/
Villa Strayegis Semat Canggu Lt 150M2 Full Furnished,Rp 175.000.000,year,Villa Strayegis Semat Canggu Lt 150M2 Full Furnished | vlr218673,2,2,,,,VILLA DISEWAKAN - SEMAT CANGGU Lokasi favorit dekat pantai & area lifestyle Disewakan villa nyaman berlokasi di Semat Canggu lingkungan tenang dan strategis cocok untuk hunian maupun ekspatriat. Spesifikasi: - Luas tanah: 150 m² - Luas bangunan: 100 m² - Kamar tidur: 2 kamar - Kamar mandi: 2 kamar - Ruang tamu & dapur terbuka - Area parkir motor/mobil - Akses jalan baik Keunggulan lokasi: v Dekat pantai Berawa & Batu Bolong v Area villa & cafe populer v Lingkungan nyaman dan aman v Akses mudah ke pusat Canggu,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2143274/b3141f9616a5b17220970e24343df2b5.jpg,https://www.rumah123.com/properti/badung-canggu/villa-strayegis-semat-canggu-lt-150m2-full-furnished-vlr218673/
Villa Nyaman 2 KT di Sanur Dekat Pusat Kota,Rp 100.000.000,year,Villa Nyaman 2 KT di Sanur Dekat Pusat Kota | vlr227305,2,4,,,,DISEWAKAN RUMAH 2 BR DI JLN SEKUTA - DENPASAR Rumah nyaman dan siap huni di lokasi strategis kawasan Jalan Sekuta Denpasar. Cocok untuk tempat tinggal keluarga kecil maupun pasangan working couple. Lokasi: Jln Sekuta Denpasar Luas Tanah: 100 m² Luas Bangunan: 97 m² 2 Kamar Tidur 2 Kamar Mandi ✨ Spesifikasi: Ruang tamu nyaman Dapur Area parkir Akses jalan bagus Lingkungan tenang & aman Lokasi strategis: Dekat pusat kota Denpasar Akses mudah ke Sanur & Renon Dekat sekolah kuliner & fasilitas umum,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2143274/a5984944b0cb2761117489d324d806c1.jpg,https://www.rumah123.com/properti/denpasar-sanur/villa-nyaman-2-kt-di-sanur-dekat-pusat-kota-vlr227305/
Villa Fully-Furnished di Canggu LT 175M²,Rp 170.000.000,year,Villa Fully-Furnished di Canggu LT 175M² | vlr227650,4,8,,,,DISEWAKAN HOMESTAY STRATEGIS DI BERAWA - CANGGU ✨ Lokasi premium di kawasan Berawa Canggu - dekat ke pantai café dan pusat lifestyle favorit di area Canggu. Cocok untuk hunian keluarga guest house atau bisnis homestay. Spesifikasi: 4 Kamar Tidur 4 Kamar Mandi Dapur lengkap Taman asri & nyaman Ruang tamu & area santai Akses jalan bagus Lingkungan tenang & strategis Suasana nyaman dan privat sangat cocok untuk long stay maupun usaha sewa harian/bulanan. Harga sewa: (isi sesuai harga) Legalitas aman Lokasi: Berawa - Canggu,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2143274/b2ea3747b61ba1482e0264d17eb2be2f.jpg,https://www.rumah123.com/properti/badung-canggu/villa-fullyfurnished-di-canggu-lt-175m-vlr227650/
Villa Dekat Berawa Beach Dan Atlas Club,Rp 220.000.000,year,https://www.rumah123.com/properti/badung-canggu/villa-dekat-berawa-beach-dan-atlas-club-hor13553222/,3,3,400 m²,200 m²,SHM,House/ villa For rent in berawa beach. House with swiming pool. Land size 400 m2. 3 bedroom. 3 bathroom.premiun area. Need renovation. House just 7 minute walk from beach. Can rent 15 year. Price 220 million per year.location in premium area in berawa.pink zone.everything near by. Please contact me for showing and more detail. Potensial for sub lease. Disewakan villa 3 kamar tidur dan 3 kamar mandi.villa sudah ada kolam renang .lokasi hanya 3 menit berjalan kaki dati atlas beach club.luas tanah 400 m2 dan bangunan sedikit lama butuh renovasi. Cocok untuk disewakan menjadi guest house.harga sewa 130 juta pertahun bisa sewa lima tahun atau maksimal 15 tahun .villa sudah dikelilingi tembok dan lokasi villa di lingkungan komersial villa dan dekat dengan restauranttoko kerajinan atau arshop souvenir .hanya berjarak 300 meter dari pantai berawa.zona pink /pariwisata. Jika serius ingin sewa bisa hubungi saya .siap di survey kapan saja.,,Made SinardanaAgen IndependenNIB:912000178****,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1333967/2023-04-30-05-46-31-cfcf9e79-8884-496e-b99c-12e1dc8c0004.jpg,https://www.rumah123.com/properti/badung-canggu/villa-dekat-berawa-beach-dan-atlas-club-hor13553222/
Villa Brand New Luxury Akses 7 Meter Villa Area Nusa Dua,Rp 320.000.000,year,Badung,2,3,,,,Dijual ataupun disewakan Brand New Villa di kampiyal Nusa Dua Bali Villa dengan Design Modern sangat Good Super Quality Di lengkapi dengan Full fasilitas super kwalitas. Spesifikasi : SHM / Freehold Land area 108m2 Building area 168m2 2 bedroom 3 bathroom Powder room Service area Private pool Water Pam Electricity 13.000 watt Fully furnished Super Good Quality Kitchen full equipment Price Sale 36 Millyard/Negoo Price Rent 320jt/tahun/Negoo,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/33055/bf679bd8eac4462e80f97803136a9c5a.jpg,https://www.rumah123.com/properti/badung-nusa-dua/villa-brand-new-luxury-akses-7-meter-villa-area-nusa-dua-vlr212463/
Luxury Vila For Rent 3 Bedroom Rooftop Fully Furnished At Ubud,Rp 235.000.000,year,Luxury Vila For Rent 3 Bedroom Rooftop Fully Furnished At Ubud | Rumah123,3,2,200 m²,183 m²,SHM,Luxurry villa dekat Ubud Bali suasana tenang dan nyaman Villa yang didesain modern dengan 3 kamar tidur ini terdiri dari 3 lantai dengan roof top yang memiliki view menakjubkan ke hamparan sawah hutan dan pegunungan. luas tanah 201m2 Luas bangunan 183m2 Hadap selatan Terletak di desa Kemenuh - Ubud dengan jarak hanya 3 km ke kota Ubud 9 km ke desa Sukawati dan 15 km ke kota Denpasar memudahkan anda untuk mengakses uniknya kota Ubud dan berbagai lokasi wisata terkenal lainnya dengan tidak meninggalkan keperluan anda untuk mendapatkan kelengkapan fasilitas kota Denpasar. Villa ini sudah dilengkapi dengan IMB dan Sertifikat Hak Milik (Freehold) sehingga secara legalitas sangat lengkap. Wa.me//6281xxxxxxxx Email : ******** IG :******** Youtube chanel : ******** Tiktok : ******** /cokdama,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1463280/2023-03-17-04-06-12-262e73f0-0ffe-4bf0-8e97-054cec1c4988.jpg,https://www.rumah123.com/properti/gianyar-ubud/luxury-vila-for-rent-3-bedroom-rooftop-fully-furnished-at-ubud-hor13134364/
Villa Modern dan Minimalis,Rp 220.000.000,year,Badung,,3,,,,Villa nyaman dengan 3 kamar tidur dan 3 kamar mandi dilengkapi fasilitas lengkap untuk menunjang kenyamanan penghuni. Villa ini sudah dilengkapi AC di setiap kamar kasur lemari kulkas serta meja makan yang siap digunakan. Tersedia juga kolam renang pribadi yang menambah kenyamanan dan suasana santai di area villa. Akses menuju lokasi sangat mudah dijangkau cocok untuk tempat tinggal maupun investasi sewa. Lingkungan sekitar tenang dan nyaman ideal untuk menikmati suasana tinggal yang lebih privat.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/4407764/2051d5b6eb91b1b8540cf8803affc646.jpg,https://www.rumah123.com/properti/denpasar-sanur/villa-modern-dan-minimalis-vlr234923/
For Lease! Villa With Private Pool And Easy Access To The Beach At Legian,Rp 160.000.000,year,Badung,2,2,100 m²,90 m²,SHM,Villa for Lease in Legian Area With Attractive Price and Close to Beach & Shopping Center Villa for lease in a strategic location in Legian Villa with a private pool well-maintained and close to the beach restaurants and shopping centers Access: 900 m to Kuta Beach 1.2 km to IKEA Central Park 1.7 km to Grand Lucky Supermarket Sunset Road 3.7 km to Mall Bali Galeria 2.8 km to Siloam Hospital 3.1 km to La Plancha Seminyak Specifications: Land Area: 100 sqm Building Area: 90 sqm Facing to the South 1-Story Building Facilities: 2 Bedrooms 2 Bathrooms Kitchen Swimming Pool Electricity 2200Watt Unfurnished PDAM Water Source Price: IDR. 160 Million/Year (minimum lease 10 years) Contact me for more detailed information and inspection. ---------------------------------------------------------------------------------------------------------------------- Villa sewa dengan lokasi strategis di Legian Villa dengan kolam renang pribadi bangunan yang terawat dan dekat pantai restoran dan pusat perbelanjaan Akses: 900 m ke Pantai Kuta 1.2 km ke IKEA Central Park 1.7 km ke Grand Lucky Supermarket Sunset Road 3.7 km ke Mall Bali Galeria 2.8 km ke RS Siloam 3.1 km ke La Plancha Seminyak Spesifikasi: Luas Tanah: 100 m² Luas Bangunan: 90 m² Menghadap Selatan Bangunan 1 Lantai Fasilitas: 2 Kamar Tidur 2 Kamar Mandi Dapur Kolam Renang Listrik 2.200 Watt Non Furnished Sumber air PDAM Harga: Rp 160 Juta/Tahun (minimal sewa 10 tahun) Hubungi saya untuk informasi lebih detail dan inspeksi.,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/1682591/319f1b9e3ca77d6a370853f83671b213.jpg,https://www.rumah123.com/properti/badung-legian/for-lease-villa-with-private-pool-and-easy-access-to-the-beach-at-legian-vlr229125/
Rumah Cantik 4 Kamar dengan Kolam Renang Pribadi di Munggu Kapal,Rp 180.000.000,year,Badung,4,4,120 m²,120 m²,SHM,HUNIAN MEWAH DENGAN PRIVATE POOL DI LOKASI STRATEGIS MUNGGU! ‍♂️✨Nikmati kenyamanan tinggal di hunian bergaya villa yang terletak di Perumahan GSM Jl. Munggu Kapal. Rumah ini menawarkan privasi maksimal dengan fasilitas lengkap sangat cocok bagi Anda yang bekerja di area Canggu namun ingin suasana rumah yang lebih tenang dan asri.Kenapa Rumah Ini Sempurna Untuk Anda?Fasilitas Premium: Sudah dilengkapi dengan Swimming Pool pribadi untuk bersantai.Kapasitas Besar: Memiliki 4 Kamar Tidur di mana setiap kamar dilengkapi kamar mandi dalam (En-suite) memberikan privasi ekstra bagi setiap penghuni.Fully Furnished: Tinggal bawa koper! Semua furnitur sudah tersedia.Daya Listrik Besar: 5500 Watt sangat aman untuk penggunaan AC di setiap kamar dan pompa kolam.Lokasi Strategis: Berada di jalur Munggu Kapal akses cepat menuju Pantai Seseh Pererenan dan Canggu.Spesifikasi Detail:Luas Tanah/Bangunan: 120 $m^2$ / 120 $m^2$Kamar Tidur: 4Kamar Mandi: 4Hadap: Tenggara (Cahaya matahari pagi yang sehat!)Air: Sumur Bor (Jernih & Melimpah)Listrik: 5500 WattLegalitas: SHM & IMB LengkapKetentuan Sewa:Harga: Rp 180.000.xxx / TahunMasa Sewa: Minimal 2 TahunKondisi: Full FurnishedDapatkan hunian rasa villa dengan harga terbaik di kelasnya!,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2106249/3104730b565928e8823d2c00b5535ec9.jpg,https://www.rumah123.com/properti/badung-munggu/rumah-cantik-4-kamar-dengan-kolam-renang-pribadi-di-munggu-kapal-hor41045460/
Villa Mewah 4 Kamar di Renon LT 600M² Area Tukad Balian,Rp 308.000.000,year,Badung,4,7,,,,Disewakan Villa Eksklusif di Tukad Balian Renon - Denpasar Harga Sewa: Rp 308 Juta / Tahun Lokasi premium di kawasan Renon - lingkungan elite tenang dan strategis dekat pusat pemerintahan & bisnis Denpasar. Spesifikasi Properti: Luas Tanah: 600 m² Luas Bangunan: 200 m² 4 Kamar Tidur 7 Kamar Mandi Listrik: 7.000 Watt Air: PDAM Garasi: 1 Mobil Status: SHM Kondisi: Furnished ✅ Keunggulan Lokasi Tukad Balian - Renon: Area hunian prestisius & tenang Akses cepat ke pusat kota Denpasar Cocok untuk ekspatriat / keluarga besar Lingkungan rapi & nyaman Villa ini sangat cocok untuk: v Eksekutif v Keluarga besar v Kantor representatif v Rumah dinas,,Agen Properti di Tangerang,,https:/picture.rumah123.com/r123-images/300x300-crop/customer/2106249/90b38fcf742b013ee7a559394eed8423.jpg,https://www.rumah123.com/properti/denpasar-denpasar-selatan/villa-mewah-4-kamar-di-renon-lt-600m-area-tukad-balian-vlr231351/
